Category,Resume,cleaned_resume,stemmed_resume
Release Manager,"Skills: Kubernetes, Linux, Virtualization, Oracle, Microservices. Experience: Handled technical support for enterprise-level systems. Internships: Interned at a leading game development company. Projects: Developed a user-friendly dashboard using Power BI. Certifications: AWS Certified Solutions Architect.",skill kubernete linux virtualization oracle microservice experience handle technical support enterpriselevel system internship intern lead game development company project develop userfriendly dashboard power bi certification aw certify solution architect,skill kubernet linux virtual oracl microservic experi handl technic support enterpriselevel system internship intern lead game develop compani project develop userfriendli dashboard power bi certif aw certifi solut architect
DevOps Engineer,"Skills: Cybersecurity, Python, Oracle, Data Analysis, Incident Response. Experience: Experience in designing and implementing machine learning algorithms. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Google Cloud Professional Cloud Architect.",skill cybersecurity python oracle data analysis incident response experience experience design implement machine learn algorithm internship intern abc tech solution focus system analysis project implement cicd pipeline jenkins certifications google cloud professional cloud architect,skill cybersecur python oracl data analysi incid respons experi experi design implement machin learn algorithm internship intern abc tech solut focu system analysi project implement cicd pipelin jenkin certif googl cloud profession cloud architect
Business Analyst,"Skills: API Development, ERP Implementation, Incident Response, Data Mining, Virtualization. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Created a game using Unity and C#. Certifications: Google Cloud Professional Cloud Architect.",skill api development erp implementation incident response datum mining virtualization experience   year experience data scientist multinational company internship complete internship xyz software work cloud infrastructure project create game unity c certifications google cloud professional cloud architect,skill api develop erp implement incid respons datum mine virtual experi year experi data scientist multin compani internship complet internship xyz softwar work cloud infrastructur project creat game uniti c certif googl cloud profession cloud architect
AI/ML Engineer,"Skills: JavaScript, Scrum, Network Administration, ERP Implementation, TensorFlow. Experience: 3 years of experience in developing full-stack applications. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Kubernetes Administrator (CKA).",skill javascript scrum network administration erp implementation tensorflow experience   year experience develop fullstack application internship complete internship xyz software work cloud infrastructure project develop chatbot python machine learn certification certify kubernetes administrator cka,skill javascript scrum network administr erp implement tensorflow experi year experi develop fullstack applic internship complet internship xyz softwar work cloud infrastructur project develop chatbot python machin learn certif certifi kubernet administr cka
DevSecOps Engineer,"Skills: Keras, Linux, AWS, Angular, PostgreSQL. Experience: Experience in designing and implementing machine learning algorithms. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Created a game using Unity and C#. Certifications: Certified ScrumMaster (CSM).",skill keras linux aws angular postgresql experience experience design implement machine learn algorithm internship intern pqr system ai machine learning project create game unity c certification certify scrummaster csm,skill kera linux aw angular postgresql experi experi design implement machin learn algorithm internship intern pqr system ai machin learn project creat game uniti c certif certifi scrummast csm
Embedded Systems Engineer,"Skills: Incident Response, Windows Server, Keras, HTML/CSS, ERP Implementation. Experience: 4 years of experience in IT security operations. Internships: Internship in frontend development at a digital marketing agency. Projects: Developed a chatbot using Python and machine learning. Certifications: PMP Certified Project Manager.",skill incident response windows server keras htmlcss erp implementation experience   year experience security operation internship internship frontend development digital marketing agency project develop chatbot python machine learn certification pmp certify project manager,skill incid respons window server kera htmlcss erp implement experi year experi secur oper internship internship frontend develop digit market agenc project develop chatbot python machin learn certif pmp certifi project manag
Full Stack Developer,"Skills: Node.js, C++, PostgreSQL, ERP Implementation, JavaScript. Experience: Experience in developing and managing databases for large-scale applications. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Developed an AI-based resume screening application. Certifications: Certified ScrumMaster (CSM).",skill nodejs c postgresql erp implementation javascript experience experience develop manage database largescale application internship complete internship xyz software work cloud infrastructure project develop aibased resume screen application certification certify scrummaster csm,skill nodej c postgresql erp implement javascript experi experi develop manag databas largescal applic internship complet internship xyz softwar work cloud infrastructur project develop aibas resum screen applic certif certifi scrummast csm
Cloud Security Engineer,"Skills: Data Analysis, CI/CD, C++, Windows Server, Linux. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Worked as an intern in IT support for a fintech company. Projects: Created a mobile app for e-commerce platforms. Certifications: Cisco Certified Network Associate (CCNA).",skill datum analysis cicd c windows server linux experience lead project deploy cloud solution multiple team internship work intern support fintech company project create mobile app ecommerce platform certifications cisco certify network associate ccna,skill datum analysi cicd c window server linux experi lead project deploy cloud solut multipl team internship work intern support fintech compani project creat mobil app ecommerc platform certif cisco certifi network associ ccna
IT Trainer,"Skills: Linux, Network Administration, Azure, Angular, Penetration Testing. Experience: 4 years of experience in IT security operations. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Microsoft Certified: Azure Fundamentals.",skill linux network administration azure angular penetration testing experience   year experience security operation internship intern pqr system ai machine learning project develop userfriendly dashboard power bi certification microsoft certify azure fundamental,skill linux network administr azur angular penetr test experi year experi secur oper internship intern pqr system ai machin learn project develop userfriendli dashboard power bi certif microsoft certifi azur fundament
Cloud Engineer,"Skills: Virtualization, Data Mining, Kubernetes, Microservices, DevOps. Experience: 3 years of experience in developing full-stack applications. Internships: 3-month internship at a mobile app development firm. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Google Cloud Professional Cloud Architect.",skill virtualization datum mining kubernete microservice devop experience   year experience develop fullstack application internship month internship mobile app development firm project implement cicd pipeline jenkins certifications google cloud professional cloud architect,skill virtual datum mine kubernet microservic devop experi year experi develop fullstack applic internship month internship mobil app develop firm project implement cicd pipelin jenkin certif googl cloud profession cloud architect
QA Engineer,"Skills: Virtualization, HTML/CSS, CI/CD, PostgreSQL, Linux. Experience: Experience in designing and implementing machine learning algorithms. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed a chatbot using Python and machine learning. Certifications: Certified Data Scientist.",skill virtualization htmlcss cicd postgresql linux experience experience design implement machine learn algorithm internship work intern support fintech company project develop chatbot python machine learn certification certify datum scientist,skill virtual htmlcss cicd postgresql linux experi experi design implement machin learn algorithm internship work intern support fintech compani project develop chatbot python machin learn certif certifi datum scientist
Mobile App Developer,"Skills: Cybersecurity, Windows Server, Linux, Oracle, Azure. Experience: Worked as a software engineer intern for 6 months. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Implemented a CI/CD pipeline using Jenkins. Certifications: Certified Kubernetes Administrator (CKA).",skill cybersecurity window server linux oracle azure experience work software engineer intern   month internship intern abc tech solution focus system analysis project implement cicd pipeline jenkin certification certify kubernetes administrator cka,skill cybersecur window server linux oracl azur experi work softwar engin intern month internship intern abc tech solut focu system analysi project implement cicd pipelin jenkin certif certifi kubernet administr cka
Technical Support Engineer,"Skills: Python, ERP Implementation, AWS, PostgreSQL, Microservices. Experience: 5 years of experience in cloud infrastructure management. Internships: Worked as an intern in IT support for a fintech company. Projects: Developed an AI-based resume screening application. Certifications: Certified Ethical Hacker (CEH).",skill python erp implementation aw postgresql microservice experience   year experience cloud infrastructure management internship work intern support fintech company project develop aibased resume screen application certification certify ethical hacker ceh,skill python erp implement aw postgresql microservic experi year experi cloud infrastructur manag internship work intern support fintech compani project develop aibas resum screen applic certif certifi ethic hacker ceh
Cybersecurity Analyst,"Skills: C++, Data Mining, SQL, CI/CD, Data Analysis. Experience: Experience in developing and managing databases for large-scale applications. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Microsoft Certified: Azure Fundamentals.",skill c datum mining sql cicd datum analysis experience experience develop manage database largescale application internship intern pqr system ai machine learning project design deploy secure vpn corporate network certification microsoft certify azure fundamental,skill c datum mine sql cicd datum analysi experi experi develop manag databas largescal applic internship intern pqr system ai machin learn project design deploy secur vpn corpor network certif microsoft certifi azur fundament
Blockchain Developer,"Skills: Keras, AWS, ERP Implementation, Cybersecurity, Java. Experience: 3 years of experience in developing full-stack applications. Internships: Internship in frontend development at a digital marketing agency. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Microsoft Certified: Azure Fundamentals.",skill keras aws erp implementation cybersecurity java experience   year experience develop fullstack application internship internship frontend development digital marketing agency project develop userfriendly dashboard power bi certification microsoft certify azure fundamental,skill kera aw erp implement cybersecur java experi year experi develop fullstack applic internship internship frontend develop digit market agenc project develop userfriendli dashboard power bi certif microsoft certifi azur fundament
IT Trainer,"Skills: Database Management, Machine Learning, C++, Incident Response, AWS. Experience: 5 years of experience in cloud infrastructure management. Internships: Completed internship at XYZ Software, worked on cloud infrastructure. Projects: Created a mobile app for e-commerce platforms. Certifications: Certified Ethical Hacker (CEH).",skill database management machine learn c incident response aw experience   year experience cloud infrastructure management internship complete internship xyz software work cloud infrastructure project create mobile app ecommerce platform certification certify ethical hacker ceh,skill databas manag machin learn c incid respons aw experi year experi cloud infrastructur manag internship complet internship xyz softwar work cloud infrastructur project creat mobil app ecommerc platform certif certifi ethic hacker ceh
Information Security Manager,"Skills: Data Mining, Database Management, Cloud Computing, System Monitoring, PostgreSQL. Experience: 2 years of experience as a data scientist in a multinational company. Internships: Worked as an intern in IT support for a fintech company. Projects: Designed a microservice architecture for a large-scale web application. Certifications: Oracle Certified Professional.",skill datum mining database management cloud computing system monitor postgresql experience   year experience data scientist multinational company internship work intern support fintech company project design microservice architecture largescale web application certification oracle certify professional,skill datum mine databas manag cloud comput system monitor postgresql experi year experi data scientist multin compani internship work intern support fintech compani project design microservic architectur largescal web applic certif oracl certifi profession
DevSecOps Engineer,"Skills: HTML/CSS, Data Analysis, CI/CD, Java, Cloud Computing. Experience: Experience in developing and managing databases for large-scale applications. Internships: Interned at a leading game development company. Projects: Created a mobile app for e-commerce platforms. Certifications: Oracle Certified Professional.",skill htmlcss datum analysis cicd java cloud computing experience experience develop manage database largescale application internship intern lead game development company project create mobile app ecommerce platform certification oracle certify professional,skill htmlcss datum analysi cicd java cloud comput experi experi develop manag databas largescal applic internship intern lead game develop compani project creat mobil app ecommerc platform certif oracl certifi profession
Embedded Systems Engineer,"Skills: Network Administration, Agile Methodologies, React, Kubernetes, ERP Implementation. Experience: 3 months of experience as a junior backend developer. Internships: Completed an internship as a network engineer. Projects: Developed a user-friendly dashboard using Power BI. Certifications: Oracle Certified Professional.",skill network administration agile methodology react kubernete erp implementation experience   month experience junior backend developer internship complete internship network engineer project develop userfriendly dashboard power bi certification oracle certify professional,skill network administr agil methodolog react kubernet erp implement experi month experi junior backend develop internship complet internship network engin project develop userfriendli dashboard power bi certif oracl certifi profession
IT Support Specialist,"Skills: Machine Learning, Java, System Monitoring, Angular, TensorFlow. Experience: 5 years of experience in cloud infrastructure management. Internships: 6-month internship at DEF Cybersecurity firm, focusing on ethical hacking. Projects: Created a mobile app for e-commerce platforms. Certifications: Certified Ethical Hacker (CEH).",skill machine learn java system monitor angular tensorflow experience   year experience cloud infrastructure management internship month internship def cybersecurity firm focus ethical hack project create mobile app ecommerce platform certification certify ethical hacker ceh,skill machin learn java system monitor angular tensorflow experi year experi cloud infrastructur manag internship month internship def cybersecur firm focu ethic hack project creat mobil app ecommerc platform certif certifi ethic hacker ceh
Mobile App Developer,"Skills: Linux, Virtualization, Agile Methodologies, C++, System Monitoring. Experience: Experience in designing and implementing machine learning algorithms. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Built a blockchain application for supply chain management. Certifications: Certified Data Scientist.",skill linux virtualization agile methodology c system monitor experience experience design implement machine learn algorithm internship intern pqr system ai machine learning project build blockchain application supply chain management certification certify datum scientist,skill linux virtual agil methodolog c system monitor experi experi design implement machin learn algorithm internship intern pqr system ai machin learn project build blockchain applic suppli chain manag certif certifi datum scientist
IT Consultant,"Skills: Oracle, ERP Implementation, API Development, Penetration Testing, Virtualization. Experience: 3 months of experience as a junior backend developer. Internships: Intern at ABC Tech Solutions, focused on system analysis. Projects: Developed an AI-based resume screening application. Certifications: AWS Certified Solutions Architect.",skill oracle erp implementation api development penetration testing virtualization experience   month experience junior backend developer internship intern abc tech solution focus system analysis project develop aibased resume screen application certification aw certify solution architect,skill oracl erp implement api develop penetr test virtual experi month experi junior backend develop internship intern abc tech solut focu system analysi project develop aibas resum screen applic certif aw certifi solut architect
System Analyst,"Skills: CI/CD, Azure, DevOps, Cybersecurity, Angular. Experience: 3 months of experience as a junior backend developer. Internships: Completed an internship as a network engineer. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Certified Kubernetes Administrator (CKA).",skill cicd azure devop cybersecurity angular experience   month experience junior backend developer internship complete internship network engineer project develop cloudbase backup system enterprise datum certification certify kubernetes administrator cka,skill cicd azur devop cybersecur angular experi month experi junior backend develop internship complet internship network engin project develop cloudbas backup system enterpris datum certif certifi kubernet administr cka
IoT Developer,"Skills: Linux, Incident Response, Virtualization, Network Administration, DevOps. Experience: Handled technical support for enterprise-level systems. Internships: 3-month internship at a mobile app development firm. Projects: Built a blockchain application for supply chain management. Certifications: Microsoft Certified: Azure Fundamentals.",skill linux incident response virtualization network administration devop experience handle technical support enterpriselevel system internship month internship mobile app development firm project build blockchain application supply chain management certification microsoft certify azure fundamental,skill linux incid respons virtual network administr devop experi handl technic support enterpriselevel system internship month internship mobil app develop firm project build blockchain applic suppli chain manag certif microsoft certifi azur fundament
IT Trainer,"Skills: SQL, Data Analysis, Cybersecurity, Windows Server, Keras. Experience: 3 years of experience in developing full-stack applications. Internships: Interned at a leading game development company. Projects: Developed a cloud-based backup system for enterprise data. Certifications: Certified ScrumMaster (CSM).",skill sql datum analysis cybersecurity window server keras experience   year experience develop fullstack application internship intern lead game development company project develop cloudbase backup system enterprise datum certification certify scrummaster csm,skill sql datum analysi cybersecur window server kera experi year experi develop fullstack applic internship intern lead game develop compani project develop cloudbas backup system enterpris datum certif certifi scrummast csm
Technical Support Engineer,"Skills: Virtualization, Data Analysis, SQL, Network Administration, Docker. Experience: 3 months of experience as a junior backend developer. Internships: 3-month internship at a mobile app development firm. Projects: Developed a chatbot using Python and machine learning. Certifications: AWS Certified Solutions Architect.",skill virtualization datum analysis sql network administration docker experience   month experience junior backend developer internship month internship mobile app development firm project develop chatbot python machine learn certification aw certify solution architect,skill virtual datum analysi sql network administr docker experi month experi junior backend develop internship month internship mobil app develop firm project develop chatbot python machin learn certif aw certifi solut architect
IoT Developer,"Skills: CI/CD, Docker, DevOps, SQL, ERP Implementation. Experience: Led a project to deploy cloud solutions across multiple teams. Internships: Completed an internship as a network engineer. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: PMP Certified Project Manager.",skill cicd docker devop sql erp implementation experience lead project deploy cloud solution multiple team internship complete internship network engineer project design deploy secure vpn corporate network certification pmp certify project manager,skill cicd docker devop sql erp implement experi lead project deploy cloud solut multipl team internship complet internship network engin project design deploy secur vpn corpor network certif pmp certifi project manag
Full Stack Developer,"Skills: Microservices, Cybersecurity, JavaScript, Java, Azure. Experience: 4 years of experience in IT security operations. Internships: 3-month internship at a mobile app development firm. Projects: Designed and deployed a secure VPN for a corporate network. Certifications: Cisco Certified Network Associate (CCNA).",skill microservice cybersecurity javascript java azure experience   year experience security operation internship month internship mobile app development firm project design deploy secure vpn corporate network certification cisco certify network associate ccna,skill microservic cybersecur javascript java azur experi year experi secur oper internship month internship mobil app develop firm project design deploy secur vpn corpor network certif cisco certifi network associ ccna
Software Engineer,"Skills: React, AWS, Incident Response, Machine Learning, Linux. Experience: Worked as a software engineer intern for 6 months. Internships: Intern at PQR Systems in AI and Machine Learning. Projects: Created a game using Unity and C#. Certifications: Certified Data Scientist.",skill react aw incident response machine learn linux experience work software engineer intern   month internship intern pqr system ai machine learning project create game unity c certification certify datum scientist,skill react aw incid respons machin learn linux experi work softwar engin intern month internship intern pqr system ai machin learn project creat game uniti c certif certifi datum scientist
